ID,voter_reg_num,first_name,last_name,dob,sex,race,info1,info2,info3,info4,info5
1,1000000657,LYNN,WILDING,07/04/1946,M,W,AMBAF,101 FOREST ST,101 FOREST ST,AB,77842
1,1000000657,LYNN,WILDING,07/04/1946,M,W,AMAB,303 FOREST ST,303 FOREST ST,WILDING,77845
2,1000000623,LYNN,WILDING,07/05/1946,M,W,9796542356,7111 Harwin Dr,LYNN,WILDING,77845
2,1000000623,LYNN,WILDING,07/05/1946,M,W,9796552456,711 Harwin Dr,LYNN,WILDING,77845
3,1000000658,LYNN,WILDING,07/09/1946,M,W,2187794297,604 Madlin PKWY,JEAN EWART,WILDING,77844
4,1000000657,LYNN,WILDING,07/04/1946,F,W,8007624124,604 Madlin pkwy,JEAN EWART,WILDING,77843
5,1000000650,LYNN I,WILDING,07/04/1946,M,6423923551,300 Strling Street,LYNN I,JEAN EWART,WILDING,77843
5,1000000657,LYNN I,WILDING,07/04/1946,M,1807924903,300 String Street,LYNN I,JEAN EWART,77840
6,1000001971,JEAN EWART,ABERNATHY,08/27/1930,F,W,6636500439,209 Appletree St,JEAN EWART,WILDING,77840
7,1000001972,JEAN EWART,ABERNATHY,08/28/1930,F,W,6635900339,220 Appletree St,JEAN EWART,WILDING,77840
7,1000001970,JEAN EWART,ABERNATHY,09/28/1930,F,W,9796542356,529 Bulv Dr,JEAN EWART,WILDING,77840
8,1000001971,JEAN EWART,ABERNATHY,08/27/1930,M,B,9796542356,530 Bulv Dr,JEAN EWART,WILDING,77840
9,1000001976,JEAN EWART,ABERNATHY,08/27/1930,F,B,9796542356,123 Gorge Bush,JEAN EWART,WILDING,77064
10,1000013650,CLARETTA,ADAMS,10/31/1944,F,B,9796542356,123 Gorge Bush Dr,CLARETTA,WILDING,77840
11,1000013655,CLARETTA,ADAMS,10/31/1944,F,B,9796542356,6430 Finna St,CLARETTA,WILDING,77840
12,1000013651,CLARETTA,ADAMS,10/31/1946,F,B,9796542356,4430 Finna St,CLARETTA,ADAMS,77840
13,1000013651,CLARETTA,ADAMS,10/31/1945,F,B,6636500439,90 Palo Alto,CLARETTA,ADAMS,77840
14,1000013651,CLARETTA,ADAMS,10/31/1944,M,B,6636500439,90 Palo Alto,CLARETTA,ADAMS,77064
15,1000013651,CLARETTA,ADAMS,10/31/1945,F,W,6636500439,90 Palo Alto,CLARETTA,ADAMS,77064
