ID,voter_reg_num,first_name,last_name,dob,sex,race,email,zip,state,NPI,Rheumatologist_name
1,1000000657,LYNN,WILDING,07/04/1946,M,W,lynn@gmail.com,77840,AL,1000000657,Rheumatologist_name
2,1000000657,LYNN,WILDING,07/04/1946,M,W,lynn@gmail.com,77840,AL,1000000657,Rheumatologist_name
3,1000000623,LYNN,WILDING,07/05/1946,M,W,lynn@gmail.com,55890,AL,1000000623,
4,1000000623,LYNN,WILDING,07/05/1946,M,W,lyn@gmail.com,55880,AZ,1000000623,
5,1000000657,LYNN,WILDING,07/01/1946,M,W,lynn@hotmail.com,12345,AZ,3434256753,Rheumatologist_name
6,1000000657,LYNN,WILDING,07/04/1946,F,W,lynn@gmail.com,12344,AZ,3434256753,
7,1000000657,LYNN,WILDING,07/04/1946,M,B,,88909,TX,3434256753,Adam
8,1000000657,LYNN,WILDING,07/04/1946,M,B,,88909,TX,3434256753,Adam
9,1000001971,JEAN EWART,ABERNATHY,08/27/1930,F,W,jean@google.com,23233,DC,343425675,Adam
10,1000001972,JEAN EWART,ABERNATHY,08/28/1930,F,W,jean@google.com,23233,DC,343425675,Adam
11,1000001972,JEAN EWART,ABERNATHY,08/28/1930,F,W,jean@college.edu,11111,DC,343425675,Adam
12,1000001971,JEAN EWART,ABERNATHY,08/27/1930,M,W,jean@college.edu,11111,TX,343425675,Adam
13,1000001976,JEAN EWART,ABERNATHY,08/27/1930,F,B,jean@college.edu,11111,TX,343425675,Adam
14,1000013651,CLARETTA,ADAMS,10/31/1944,F,B,jean@college.edu,11111,DC,343425675,Adam
15,1000013655,CLARETTA,ADAMS,10/31/1944,F,B,claretta@example.com,12121,AL,9087891,Tom
16,1000013651,CLARETTA,ADAMS,10/31/1946,F,B,claretta@example.com,12121,AL,9087891,Tom
17,1000013651,CLARETTA,ADAMS,10/31/1945,F,B,adams@example.com,54411,AL,9087891,Tom
18,1000013651,CLARETTA,ADAMS,10/31/1944,M,B,adams@example.com,54411,AL,9087891,Tom
19,1000013651,CLARETTA,ADAMS,10/31/1944,F,W,claretta@example.com,35642,AL,9087891,Tom
