ID,voter_reg_num,first_name,last_name,dob,sex,race,type,file_id,cntfn,cntln,same
1,1000078952,ARLENA,ALEXANDER,09/17/1928,F,B,1,A6,1,2,0
1,1000045771,ALMETTO,ALEXANDER,03/30/1921,F,B,1,A8,1,1,0
2,1000078952,ARLENA,ALEXANDER,09/17/1928,F,B,1,A6,1,2,0
2,1000098982,ARLENE,ALEXANDER,09/17/1982,F,B,1,B6,1,1,0
3,1000114683,KENNETH,ALYTA,02/24/1946,M,W,1,A7,1,1,0
3,1000114683,KENNY,ALYTA,02/24/1946,M,W,1,B7,1,1,0
4,1000001971,EMILY,SMITH,01/03/1980,F,W,1,A2,1,2,0
4,1000009171,EMILY,SMITH,01/03/1980,F,W,1,B2,1,2,0
5,1000000657,JOHN,SMITH,07/04/1946,M,W,1,A1,2,2,0
5,1000000657,JOHN,SMITH,04/07/1946,M,W,1,B1,2,2,0
6,1000066430,DEQUAN,WALMBOLDT,07/13/1987,M,B,1,A4,2,2,0
6,1000066432,DEQUAN,WALMBOLDT,07/13/1987,M,B,1,A9994,0,1,0
7,1000066430,DEQUAN,WALMBOLDT,07/13/1987,M,B,1,A4,2,2,0
7,1000066430,DEQUIAN,WALMBOLDT,07/31/1987,M,W,1,B4,1,1,0
8,1000013651,JOHN,WICK,05/11/1987,M,W,1,A3,2,1,0
8,1009013651,JOHN,WICK,05/11/1987,M,B,1,B3,2,1,0
