ID,voter_reg_num,first_name,last_name,dob,sex,race,info1,info2,info3,info4,info5,type,file_id,cntfn,cntln,same
1,1000000657,LYNN,WILDING,07/04/1946,M,W,"m@gmail.com",9795465,70 Mallory rd,58796,N,1,1-B,8,8,0
1,1000000653,LYNN,WILDING,07/04/1946,M,W,"m@gmail.com",9795465,70 Mallory rd,58976,A,1,1-A,8,8,0
2,1000001971,JEAN EWART,ABERNATHY,08/27/1930,F,W,"m@gmail.com",9795465,70 Mallory rd,58796,A,1,1-B,8,8,0
2,1000001972,JEAN EWART,ABERNATHY,08/27/1930,F,W,"m@gmail.com",9795465,90 Mallory rd,58796,A,1,1-A,8,8,0
3,1000013651,CLARETTA,ADAMS,10/31/1944,F,B,"fds@gmail.com",9795465,70 Mallory rd,58796,A,1,1-B,8,8,0
3,1000013651,CLARETTA,ADAMS,10/31/1944,F,B,"m@gmail.com",9795465,70 Mallory rd,58796,A,1,1-A,8,8,0
4,1000000657,LYNN,WILDING,07/04/1946,M,W,"h5@gmail.com",9795465,70 Mallory rd,56896,A,1,1-B,8,8,0
4,1000000653,LYNN,WILDING,07/04/1946,M,W,"m@gmail.com",9795465,70 Mallory rd,58796,A,1,1-A,8,8,0
5,1000001971,JEAN EWART,ABERNATHY,08/27/1930,F,W,"m@gmail.com",9795465,70 Mallory rd,58796,A,1,1-B,8,8,0
5,1000001972,JEAN EWART,ABERNATHY,08/27/1930,F,W,"m@gmail.com",9795465,70 Mallory rd,58796,A,1,1-A,8,8,0
6,1000013651,CLARETTA,ADAMS,10/31/1944,F,B,"m@gmail.com",9795465,70 Mallory rd,58796,A,1,1-B,8,8,0
6,1000013651,CLARETTA,ADAMS,10/31/1944,F,B,"m@gmail.com",9795465,70 Mallory rd,58987,A,1,1-A,8,8,0
7,1000000657,LYNN,WILDING,07/04/1946,M,W,"m@gmail.com",9795465,70 Mallory rd,58796,A,1,1-B,8,8,0
7,1000000653,LYNN,WILDING,07/04/1946,M,W,"m@gmail.com",9795465,70 Mallory rd,58796,A,1,1-A,8,8,0
8,1000001971,JEAN EWART,ABERNATHY,08/27/1930,F,W,"m@gmail.com",9795465,70 Mallory rd,58796,A,1,1-B,8,8,0
8,1000001972,JEAN EWART,ABERNATHY,08/27/1930,F,W,"m@gmail.com",9795465,70 Mallory rd,58796,A,1,1-A,8,8,0
9,1000013651,CLARETTA,ADAMS,10/31/1944,F,B,"m@gmail.com",9795465,70 Mallory rd,58796,A,1,1-B,8,8,0
9,1000013651,CLARETTA,ADAMS,10/31/1944,F,B,"m@gmail.com",9795465,70 Mallory rd,58796,A,1,1-A,8,8,0
10,1000000657,LYNN,WILDING,07/04/1946,M,W,"m@gmail.com",9795465,70 Mallory rd,58796,H,1,1-B,8,8,0
10,1000000653,LYNN,WILDING,07/04/1946,M,W,"m@gmail.com",9795465,70 Mallory rd,58796,A,1,1-A,8,8,0
11,1000001971,JEAN EWART,ABERNATHY,08/27/1930,F,W,"m@gmail.com",9795465,70 Mallory rd,58796,A,1,1-B,8,8,0
11,1000001972,JEAN EWART,ABERNATHY,08/27/1930,F,W,"m@gmail.com",9795465,70 Mallory rd,58796,A,1,1-A,8,8,0
12,1000013651,CLARETTA,ADAMS,10/31/1944,F,B,"m@gmail.com",9795465,70 Mallory rd,58796,A,1,1-B,8,8,0
12,1000013651,CLARETTA,ADAMS,10/31/1944,F,B,"mrar@gmail.com",9795465,70 Mallory,58796,M,1,1-A,8,8,0
