ID,voter_reg_num,first_name,last_name,dob,sex,race,type,file_id,cntfn,cntln,same
1,1000045771,ALMETTO,ALEXANDER,03/30/1921,F,B,1,A8,1,2,0
1,1000045771,ALMETTO,ALEX,03/30/1921,F,B,1,B8,1,1,0
2,1000066430,DEQUAN,WALMBOLDT,07/13/1987,M,B,1,A4,2,2,0
2,1000066432,DEQUAN,WALMBOLDT,07/13/1987,M,B,1,A9994,0,1,0
3,1000001971,EMILY,SMITH,01/03/1980,F,W,1,A2,1,2,0
3,1000009171,EMILY,SMITH,01/03/1980,F,W,1,B2,1,2,0
4,1000000657,JOHN,SMITH,07/04/1946,M,W,1,A1,2,2,0
4,1000013651,JOHN,WICK,05/11/1987,M,W,1,A3,2,1,0
5,1000000657,JOHN,SMITH,07/04/1946,M,W,1,A1,2,2,0
5,1000000657,JOHN,SMITH,04/07/1946,M,W,1,B1,2,2,0
6,1000000657,JOHN,SMITH,07/04/1946,M,W,1,A1,2,2,0
6,1009013651,JOHN,WICK,05/11/1987,M,B,1,B3,2,1,0
